SKU,Parent SKU,Type,Name,Categories,Brand,Regular price
13-H-S,,simple,Columbia Aluminum Finishing Hawk,Drywall Finishing Tools > Columbia > Mud Pans & Pumps,Columbia,50.0
2KMR12,,simple,Columbia 2K Drywall Mud Roller Complete,Drywall Finishing Tools > Columbia > Mud Pans & Pumps,Columbia,36.0
3WJKBP,,simple,Columbia 3 Piece Three - Way Stainless Steel Comfort Grip Joint Knife Set,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,43.0
9-1MT,,simple,Columbia Stainless Steel 9 - in - 1 Putty Knife with Nylon Grip Handle,Drywall Finishing Tools > Columbia > Knives & Blades,Columbia,14.0
AB1,,simple,Automatic Box Handle Body (AB1),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB3A-LEFT,,simple,Automatic Box End Plate Left (AB3A LEFT),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB3A-RIGHT,,simple,Automatic Box End Plate Right (AB3A RIGHT),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB40,,simple,Automatic Box Air Valve Seat (AB40),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB41,,simple,Automatic Box Air Valve Stem (AB41),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB42,,simple,Automatic Box Air Valve Body (AB42),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB43,,simple,Automatic Box Throttle Housing (AB43),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB44,,simple,Automatic Box Clutch Spring (AB44),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB44A,,simple,Automatic Box Clutch Spring Short (AB44A),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB44B,,simple,Automatic Box Clutch Spring Long (AB44B),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB45,,simple,Automatic Box Throttle Set Screw (AB45),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB46,,simple,Automatic Box Throttle Pin (AB46),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB47,,simple,Automatic Box Thumb Valve (AB47),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB48,,simple,Automatic Box Air Valve O - Ring (AB48),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB49,,simple,Automatic Box Handle Mount (AB49),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB50,,simple,Automatic Box Pressure Spring (AB50),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB51,,simple,Automatic Box Release Clip (AB51),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB52,,simple,Automatic Box Thumb Valve Seat (AB52),Drywall Finishing Tools > Columbia > Parts,Columbia,
AB54,,simple,Automatic Box Air Valve Assembly (AB54),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-1,,simple,Spring Housing Angle Head (AH1A),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-1-3-5IN,,simple,"AH1 - 3.5 - Head Casting - 3.5""",Drywall Finishing Tools > Columbia > Parts,Columbia,155.0
AH-11,,simple,Return Spring Post Angle Head (AH11),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-15,,simple,Handle Ball (AH15),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-16,,simple,Retaining Spring Backer (AH16),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-2-3IN-L,,simple,Left Frame Sub - Assembly 3 in (AHA2 - 3L),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-2-3IN-R,,simple,Right Frame Sub - Assembly 3 in (AHA2 - 3R),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-20,,simple,Angle Head Pivot Pin (AH20),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-21,,simple,Angle Head Hinge Spacer (AH21),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-22,,simple,Angle Head Frame Clamp (AH22),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-23,,simple,Angle Head Frame Retaining Pin (AH23),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-3-3IN,,simple,"AH3 - 3 - 3"" Top Blade",Drywall Finishing Tools > Columbia > Parts,Columbia,28.0
AH-6,,simple,Funnel Retainer Spring (AH6),Drywall Finishing Tools > Columbia > Parts,Columbia,
AH-7-2-5IN,,simple,"AH7 - 2.5 - Frame Tension Spring - 2.5""",Drywall Finishing Tools > Columbia > Parts,Columbia,2.0
AH-7-3IN,,simple,"AH7 - 3 - Framer Tention Spring - 3""",Drywall Finishing Tools > Columbia > Parts,Columbia,2.0
AH-BALL,,simple,Angle Head Ball Adapter (AHA),Drywall Finishing Tools > Columbia > Parts,Columbia,
ATBDL1,,simple,Columbia Full Taping Set with Carbon Fiber Taper with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,3697.0
ATBDL2,,simple,Columbia Predator Combo Set with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,2155.0
ATBDL3,,simple,Columbia 8pc Starter Finishing Set with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,2132.0
ATBDL4,,simple,Columbia Basic Finishing Set with Bonus Hand Tool Set,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,1419.0
BH-8-3,,simple,3 ft Box Handle 8 in (BH8 - 3),Drywall Finishing Tools > Columbia > Parts,Columbia,
BH9-3,,simple,Brake Connecting Strap - 3',Drywall Finishing Tools > Columbia > Parts,Columbia,27.0
BH9-4,,simple,Brake Connecting Strap - 4',Drywall Finishing Tools > Columbia > Parts,Columbia,31.0
BH9-42,,simple,"Brake Connecing Strap - 42""",Drywall Finishing Tools > Columbia > Parts,Columbia,29.0
BH9-5,,simple,Brake Connecting Strap - 5',Drywall Finishing Tools > Columbia > Parts,Columbia,34.0
BH9-6,,simple,Brake Connecting Strap - 6',Drywall Finishing Tools > Columbia > Parts,Columbia,36.0
BSNC,,simple,Columbia Stainless Steel Bucket Scoop with Cork Handle,Drywall Finishing Tools > Columbia > Mud Pans & Pumps,Columbia,21.0
C148,,simple,Predator Carbon Fiber Crimping Arm Left (C148),Drywall Finishing Tools > Columbia > Parts,Columbia,
C154,,simple,Predator Carbon Fiber Cam Roller (C154),Drywall Finishing Tools > Columbia > Parts,Columbia,
C159,,simple,Predator Carbon Fiber Magnet (C159),Drywall Finishing Tools > Columbia > Parts,Columbia,
C1HEXT,,simple,Columbia One Extendable Handle - 3' - 5',Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,128.0
C1PTAPER,,simple,Columbia One Predator Automatic Taper,Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,1896.0
C1SPBODY,,simple,Columbia One Sawed Off Predator Automatic Taper Body (Head Not Included),Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,526.0
C1TBPBODY,,simple,Columbia One Tall Boy Predator Automatic Taper Body (Head Not Included),Drywall Finishing Tools > Columbia > Automatic Taping Tools,Columbia,661.0
C779-CS,,simple,Predator Carbon Fiber Cover Plate Cork Seal (C779 - CS),Drywall Finishing Tools > Columbia > Parts,Columbia,
C78S,,simple,Predator Carbon Fiber Drive Chain Short (C78S),Drywall Finishing Tools > Columbia > Parts,Columbia,
CA239,,simple,Predator Taper Adjusting Screw (CA239),Drywall Finishing Tools > Columbia > Parts,Columbia,
CBS2K,,simple,Columbia Stainless Steel Bucket Scoop with Soft Grip Handle,Drywall Finishing Tools > Columbia > Mud Pans & Pumps,Columbia,11.0
CC12,,simple,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),Drywall Finishing Tools > Columbia > Parts,Columbia,
CC16,,simple,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),Drywall Finishing Tools > Columbia > Parts,Columbia,
CC17,,simple,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),Drywall Finishing Tools > Columbia > Parts,Columbia,
CC18,,simple,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),Drywall Finishing Tools > Columbia > Parts,Columbia,
CC19,,simple,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),Drywall Finishing Tools > Columbia > Parts,Columbia,
CC1A,,simple,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),Drywall Finishing Tools > Columbia > Parts,Columbia,
CC2,,simple,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),Drywall Finishing Tools > Columbia > Parts,Columbia,
CC3,,simple,Corner Cobra Adjustable Inside & Outside Corner Roller (CC),Drywall Finishing Tools > Columbia > Parts,Columbia,
CEXT-1,,simple,External Corner Applicator Wheel Large (CEXT1),Drywall Finishing Tools > Columbia > Parts,Columbia,
CEXT-2,,simple,External Corner Applicator Wheel Small (CEXT2),Drywall Finishing Tools > Columbia > Parts,Columbia,
CEXT-3,,simple,Wheel for ICATW (CEXT3),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-15-3-5IN,,simple,Corner Flusher Tension Spring 15 x 3.5 in (CF15 - 3.5),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-1C,,simple,Corner Flusher Direct Plate C (CF1C),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-38,,simple,Corner Flusher Skid Long (CF38),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-4S,,simple,Corner Flusher Ball Spring Short (CF4S),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-5-3-S,,simple,"Tension Spring 3.5"" - Flusher (CF5 - 3.5)",Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-6,,simple,Combo Flusher Wheel Holder - Flusher (CF6),Drywall Finishing Tools > Columbia > Parts,Columbia,
CF-7,,simple,Corner Flusher Housing Block (CF7),Drywall Finishing Tools > Columbia > Parts,Columbia,
